T36,R,P1,aid in,/eɪd ɪn/ - phrasal verb,To help or assist in something,کمک کردن به,Living organisms aid in the translocation and aeration of the soil.,"کمک در
aid in
---
",[sound:TPO36/aid_in.mp3]
T36,R,P1,aeration,/ɛrˈeɪʃən/ - noun,The process of introducing air into a material,تهویه,"Earthworms mix soil both vertically and horizontally, improving aeration and drainage.","هوادهی
aeration
---
هوا دادن به مایعات،علوم مهندسی:در مجاورت هوا قرار دادن،عمران:تهویه،زیست شناسی:هوادهی",[sound:TPO36/aeration.mp3]
T36,R,P1,predominant,/prɪˈdɑːmɪnənt/ - adjective,Present as the strongest or main element,غالب,The predominant type of natural vegetation is the most important direct influence on soil characteristics.,"غالب
predominant
---
predominant
adjective
غالب, مسلط, برجسته, عمده, حکمفرما, نافذ, مشرف, فائق

غالب: dominant, prevailing, predominant, conquering, overbearing, overcoming 56
مسلط: dominant, predominant, preponderant, regnant 2
برجسته: outstanding, prominent, leading, distinguished, eminent, predominant 2
عمده: major, main, chief, leading, significant, predominant 2
حکمفرما: dominant, rampant, predominant, regnant 0
نافذ: penetrating, penetrative, incisive, pervasive, penetrant, predominant 0
مشرف: honored to visit, dominant, predominant 0
فائق: surmounting, dominant, superior, predominant, excellent, prevalent 0
_______________________
غالب، مسلط، حکمفرما، نافذ، عمده، برجسته،بازرگانی:غالب",[sound:TPO36/predominant.mp3]
T36,R,P1,prairies,/ˈprɛriz/ - noun,Large open areas of grassland,چمنزارها,"Thus prairies and tundra regions, which have characteristic vegetations, also have characteristic soils.","چمنزارها
prairies
---
prairie
noun
چمن زار, چمن, فلات چمن زار

چمن زار: meadow, prairie, grassland, lea 1
چمن: grass, lawn, turf, sod, meadow, arbor 0
فلات چمن زار: prairie 0
_______________________
",[sound:TPO36/prairies.mp3]
T36,R,P1,tundra,/ˈtʌndrə/ - noun,"A vast, flat, treeless Arctic region",توندرا,Prairies and tundra regions have characteristic soils.,"تندرا
tundra
---
tundra
noun
تندرا

تندرا: tundra 20
_______________________
توندرادشت های بی درخت پوشیده از گلسنگ نواحی قطبی،زیست شناسی:شمالگانی",[sound:TPO36/tundra.mp3]
T36,R,P1,litter,/ˈlɪtər/ - noun,Decayed organic material on the ground,بقایا,Bacteria decompose organic litter to form humus.,"بستر
litter
---
litter
noun
تخت روان, کجاوه, زایمان, محمل, ریخته و پاشیده, اشغال, اشغال پاشیدن

تخت روان: stretcher, litter, palanquin, bier, palankeen, ski lift 0
کجاوه: palanquin, litter, howdah, palankeen 0
زایمان: childbirth, parturition, litter, confinement, accouchement, throe 0
محمل: litter 0
ریخته و پاشیده: litter 0
اشغال: junk, occupation, garbage, rubbish, trash, litter 0
اشغال پاشیدن: litter 0
_______________________
litter
verb
زاییدن

زاییدن: generate, calve, bear, teem, breed, litter 0
_______________________
آشغال، زبالهآشغال پاشیدن، تخته پهن، چیزهای غیر ضروری، تخت روان، کجاوه، محمل، وسیله حمل مجروحین، برانکاردی که بیماران را با آن حمل می کنند، نوزادانی که در یک وهله زاییده شوند، زایمان، ریخته و پاشیده، زاییدن،زیست شناسی:برگریخت،علوم نظامی:برانکارد",[sound:TPO36/litter.mp3]
T36,R,P1,debris,/dəˈbriː/ - noun,"Scattered fragments, typically of something destroyed",آوار,Organic litter or debris forms humus when decomposed by bacteria.,"زباله
debris
---
debris
noun
باقی مانده, خرده, اوار, اثار مخروبه, اشغال روی هم ریخته

باقی مانده: residue, remainder, remnant, debris, rest, dregs 13
خرده: small, crumb, debris, filings, particle, bit 0
اوار: debris, shakedown, collapse, detrition 0
اثار مخروبه: debris 0
اشغال روی هم ریخته: debris 0
_______________________
آوارخاک و شن، قلوه سنگ، خرده، باقی مانده، آثار مخروبه، آشغال روی هم ریخته،معماری:واریزه،زیست شناسی:مانده طبیعی،علوم نظامی:خار و خاشاک",[sound:TPO36/debris.mp3]
T36,R,P1,legumes,/ˈlɛɡˌjumz/ - noun,"A family of plants including beans and peas, often grown for food",حبوبات,The bacteria that legumes host within their root nodules change nitrogen gas into nitrogen compounds.,"حبوبات
legumes
---
legume
noun
بنشن, بقولات, سبزی, گیاه خوردنی, نیام

بنشن: legume 8
بقولات: legume 7
سبزی: vegetable, greens, greenery, verdure, legume 0
گیاه خوردنی: legume 0
نیام: pod, scabbard, sheath, legume, tunic, case 0
_______________________
",[sound:TPO36/legumes.mp3]
T36,R,P1,alfalfa,/ælˈfælfə/ - noun,A leguminous plant grown for fodder,یونجه,"Important agricultural crops such as alfalfa, clover, soybeans, peas, and peanuts are legumes.","یونجه
alfalfa
---
alfalfa
noun
یونجه

یونجه: alfalfa, lucerne, fettle 37
_______________________
یونجه",[sound:TPO36/alfalfa.mp3]
T36,R,P1,clover,/ˈkloʊvər/ - noun,"A plant of the pea family with dense, round flower heads",شبدر,Crops such as clover are important for soil fertility.,"شبدر
clover
---
clover
noun
شبدر

شبدر: clover 89
_______________________
شبدر",[sound:TPO36/clover.mp3]
T36,R,P1,soybeans,/ˈsɔɪˌbinz/ - noun,A type of legume grown for its edible seeds,سویا,Soybeans are among the legumes that host nitrogen-fixing bacteria.,"سویا
soybeans
---
زیست شناسی:کونجاله سویا",[sound:TPO36/soybeans.mp3]
